titles,author_journal,abstracts,n_citations,author,journal,page,year
Intergenerational earnings mobility and returns to education in Hong Kong: A developed society with high economic inequality,"C Peng, PSF Yip, YW Law - Social Indicators Research, 2019 - Springer","… The overarching objective of the current study is to use intergenerational mobility and … for
examining intergenerational mobility. Besides the average level of intergenerational mobility, …",6,"C Peng, PSF Yip, YW Law",Social Indicators Research,Springer,2019
Where is the land of opportunity? Intergenerational mobility in the US,"R Chetty, N Hendren, P Kline, E Saez - VoxEU. org, 2014 - voxeu.org","… We present a new portrait of social mobility in the US by compiling statistics from millions of
… calculate two measures of intergenerational mobility. The first, relative mobility, measures the …",4,"R Chetty, N Hendren, P Kline, E Saez",VoxEU. org,voxeu.org,2014
"Educational Inequality, Educational Expansion and Intergenerational Mobility–CORRIGENDUM","J Blanden, L Macmillan - Journal of Social Policy, 2016 - cambridge.org","Educational Inequality, Educational Expansion and Intergenerational Mobility –
CORRIGENDUM | Journal of Social Policy | Cambridge Core … (2016), ‘Educational …",2,"J Blanden, L Macmillan",Journal of Social Policy,cambridge.org,2016
"Essays on automation, inequality, and intergenerational mobility",C Zanella - 2020 - zora.uzh.ch,"… The planner provides more intergenerational insurance against ability risk at the cost of
less mobility. However, this decrease in mobility is modest compared to the increase in …",NA,C Zanella,,zora.uzh.ch,2020
How to increase intergenerational mobility–implications for policy,J Piispanen - 2021 - aaltodoc.aalto.fi,"… in intergenerational mobility across societies and what these mechanisms imply when
considering policy targeted at increasing intergenerational mobility. I … of intergenerational mobility. …",NA,J Piispanen,,aaltodoc.aalto.fi,2021
Intergenerational educational mobility: Effects of family and state in Malaysia,"LA Lillard, RJ Willis - Journal of Human Resources, 1994 - JSTOR","In this paper we explore evidence concerning the relationship between parents' and
children's education using a new body of data, the Second Malaysian Family Life Survey (MFLS-2), …",414,"LA Lillard, RJ Willis",Journal of Human Resources,JSTOR,1994
An alternative measure of intergenerational income mobility based on a random coefficient model,"I Murtazashvili - Journal of Applied Econometrics, 2012 - Wiley Online Library","… We propose a broader measure of intergenerational mobility by explicitly accounting for …
Our indicator of intergenerational mobility allows for variation in intergenerational mobility …",17,I Murtazashvili,Journal of Applied Econometrics,Wiley Online Library,2012
Childhood disadvantage and intergenerational transmissions of economic status,SJ Machin - 1999 - discovery.ucl.ac.uk,"… Economists have typically considered intergenerational mobility in terms of earnings,
income or education in two, rather simple, ways. The first uses a tool commonly utilised in …",84,SJ Machin,,discovery.ucl.ac.uk,1999
"American exceptionalism in a new light: a comparison of intergenerational earnings mobility in the Nordic countries, the United Kingdom and the United States","M Jantti, B Bratsberg, K Roed, O Raaum, R Naylor… - 2006 - papers.ssrn.com","… informative and comprehensive picture of intergenerational mobility than that embodied in
… However, what distinguishes the pattern of male intergenerational mobility in the US most …",621,"M Jantti, B Bratsberg, K Roed, O Raaum, R Naylor…",,papers.ssrn.com,2006
History returns: Intergenerational mobility of education in China in 1930–2010,"Y Yao, ZA Hu - Achieving Inclusive Growth in the Asia Pacific, 2020 - library.oapen.org","… in China’s transmission of intergenerational education. The 70-… of improvements and
intergenerational mobility in education for … remedies to improve intergenerational mobility in …",NA,"Y Yao, ZA Hu",Achieving Inclusive Growth in the Asia Pacific,library.oapen.org,2020
"Industrialization, inequality and intergenerational mobility: Subnational variation in intergenerational social mobility across Europe",O Granström Öhman - 2022 - diva-portal.org,"… intergenerational mobility as, to my knowledge, no comprehensive studies on intergenerational
class and occupational mobility … It is already known that levels of mobility differ between …",NA,O Granström Öhman,,diva-portal.org,2022
Intergenerational Mobility In Landholding Distribution Of Rural Bangladesh,"MM Huq, P Rahman, M Motiur - Bangladesh Journal of …, 2003 - ageconsearch.umn.edu","The main concern of this paper was to examine the changes in the distributional pattern of
landholding over the last three generations. The Markov chain model of order one has been …",2,"MM Huq, P Rahman, M Motiur",Bangladesh Journal of …,ageconsearch.umn.edu,2003
How close does the apple fall to the tree? Some evidence from India on intergenerational occupational mobility,"S Motiram, A Singh - Economic and Political Weekly, 2012 - JSTOR","… intergenerational mobility by constructing transition matrices and computing measures of
mobility… There are a few recent nationwide studies on intergenerational occupational mobility in …",122,"S Motiram, A Singh",Economic and Political Weekly,JSTOR,2012
"Intergenerational mobility, middle sectors and entrepreneurship in Uruguay","N Gandelman, V Robano - 2012 - papers.ssrn.com","… In this paper, we proxy intergenerational social mobility by … We study social mobility by
looking at the differences … relationship between entrepreneurship and social mobility. We do so …",2,"N Gandelman, V Robano",,papers.ssrn.com,2012
Intergenerational Mobility in India: A Comparative Analysis of Social Groups,"A Gupta - Available at SSRN 3831375, 2021 - papers.ssrn.com","… this paper studies patterns in intergenerational mobility (IGM) in India, and answers four
key questions: one, what is the measure of intergenerational mobility in terms of education, …",NA,A Gupta,Available at SSRN ,papers.ssrn.com,3831375
Intergenerational educational mobility in Turkey,"A Tansel - Available at SSRN 2705453, 2015 - papers.ssrn.com","… of intergenerational economic and social mobility in a society should be of concern for at
least three reasons. First of all, intergenerational mobility … with the intergenerational mobility in …",17,A Tansel,Available at SSRN ,papers.ssrn.com,2705453
"Poverty, intergenerational mobility, and the role of imperfect information: An inquiry with reference to the panel study of income dynamics",RHA Naga - 1994 - search.proquest.com,"… topic of intergenerational earnings mobility. We define a criterion for the justice assessment
of intergenerational mobility … We apply our concept to intergenerational data from the PSID. …",4,RHA Naga,,search.proquest.com,1994
Multigenerational approaches to social mobility. A multifaceted research agenda,"FT Pfeffer - Research in social stratification and mobility, 2014 - ncbi.nlm.nih.gov","… of mobility research that either implicitly or explicitly assumes that the intergenerational …
, “[i]t is likely that we have overstated intergenerational mobility [...] or, at the very least, have …",136,FT Pfeffer,Research in social stratification and mobility,ncbi.nlm.nih.gov,2014
School tracking and intergenerational income mobility: Evidence from the Finnish comprehensive school reform,"T Pekkarinen, R Uusitalo, S Kerr - Journal of public Economics, 2009 - Elsevier","… effects of specific policies on intergenerational income mobility. … intergenerational mobility.
We estimate the effect of the Finnish comprehensive school reform on the intergenerational …",380,"T Pekkarinen, R Uusitalo, S Kerr",Journal of public Economics,Elsevier,2009
Intergenerational transmission of maternal poverty to self-esteem among young adult children: The role of employment,"J Lee, J Seon - Children and Youth Services Review, 2019 - Elsevier","… intergenerational mobility. Anew angle is required to examine intergenerational mobility by
… Intergenerational mobility is an important indicator for understanding self-esteem in young …",7,"J Lee, J Seon",Children and Youth Services Review,Elsevier,2019
The intergenerational transmission of context,"P Sharkey - American Journal of Sociology, 2008 - journals.uchicago.edu","… mobility, these and other measures of family background explain well less than half of the
intergenerational … Black Americans’ low rate of intergenerational mobility out of the poorest …",445,P Sharkey,American Journal of Sociology,journals.uchicago.edu,2008
Intergenerational equity and intergenerational mobility in Italy: an analysis from SHIW,"F Roccisano - Youth and the Crisis. Unemployment, Education and …, 2016 - academia.edu","… aims to analyze the trend of intergenerational mobility and … analysis during time of the
intergenerational mobility value we will … intergenerational mobility we can look at the market labour …",1,F Roccisano,"Youth and the Crisis. Unemployment, Education and …",academia.edu,2016
Income Inequality and Intergenerational Mobility in India,"A Singh - arXiv preprint arXiv:2107.12702, 2021 - arxiv.org","… This paper examines the level of intergenerational income mobility (IGIM) among social
classes in India and compares its relationship with income inequality. The IGIM analyses the …",NA,A Singh,arXiv preprint arXiv:.,arxiv.org,2107
An immigrant paradox? Contextual attainment and intergenerational educational mobility,"C Feliciano, YR Lanuza - American Sociological Review, 2017 - journals.sagepub.com","… Under this broader view of social class background, we find that the most common
intergenerational mobility pattern among children of immigrants is not extraordinary upward mobility, …",252,"C Feliciano, YR Lanuza",American Sociological Review,journals.sagepub.com,2017
US intergenerational mobility since WWII,N Hilger - 2015 - voxeu.org,"… Measuring intergenerational mobility in census data … to estimate intergenerational mobility
statistics on US census data (Hilger 2015). Prior research on intergenerational mobility has …",1,N Hilger,,voxeu.org,2015
From parents to children: The intergenerational transmission of advantage,"J Ermisch, M Jantti, TM Smeeding - 2012 - books.google.com","… none is more worrisome, or more difficult to study, than the possibility that rising inequality
will have the long-term effect of reducing equality of opportunity and intergenerational mobility. …",237,"J Ermisch, M Jantti, TM Smeeding",,books.google.com,2012
Like Father Like Son? Social Engineering and Intergenerational Mobility in Housing Consumption,"S Agarwal, Y Fan, W Qian, TF Sing - … and Intergenerational Mobility …, 2021 - papers.ssrn.com","… We estimate the rate of intergenerational mobility in housing consumption in the context of …
find upward mobility for children born to grass-roots parents, downward mobility for children of …",NA,"S Agarwal, Y Fan, W Qian, TF Sing",… and Intergenerational Mobility …,papers.ssrn.com,2021
Homeownership and the American Dream–An Analysis of Intergenerational Mobility Effects,"N Kulkarni, U Malmendier - Unpublished manuscript, 2015 - cafral.org.in","… and intergenerational mobility is highly place-dependent. First, we link commuting zone-level
homeownership rates to intergenerational mobility, and … and upward mobility is significantly …",2,"N Kulkarni, U Malmendier",Unpublished manuscript,cafral.org.in,2015
"Nowcasting the impact of COVID-19 on education, intergenerational mobility and earnings inequality in Sub-Saharan Africa","G Neidhöfer, N Lustig, P Larroulet - ZEW-Centre for European …, 2022 - papers.ssrn.com","… potential impact of the pandemic on intergenerational mobility, we estimate the two …
Based on our projections, the intergenerational mobility of education is expected to fall in all …",NA,"G Neidhöfer, N Lustig, P Larroulet",ZEW-Centre for European …,papers.ssrn.com,2022
Intergenerational wealth mobility: Evidence from danish wealth records of three generations,"SH Boserup, W Kopczuk, CT Kreiner - Univ. of Copenhagen mimeo, 2013 - Citeseer","… Abstract We provide empirical evidence on the intergenerational mobility of wealth using
administrative wealth records of three generations of Danes. Our preferred estimate for the inter…",65,"SH Boserup, W Kopczuk, CT Kreiner",Univ. of Copenhagen mimeo,Citeseer,2013
Intergenerational mobility in Norway: Transition probabilities and directional rank mobility,K Schnelle - 2015 - bora.uib.no,"… to previous studies on intergenerational mobility in Norway. … in the field of intergenerational
mobility research; however, … rank mobility measures and earlier findings of intergenerational …",3,K Schnelle,,bora.uib.no,2015
The Role of Higher Education in Intergenerational Mobility,AD Simpfenderfer - 2021 - search.proquest.com,"… racial diversity on intergenerational mobility rates and … with lower levels of intergenerational
mobility, while higher … by the institutions’ intergenerational mobility rate both one and …",NA,AD Simpfenderfer,,search.proquest.com,2021
7. Mobility comparisons: Does using different measures matter?,"D Checchi, V Dardanoni - Inequality, Welfare and Poverty: Theory …, 2003 - emerald.com","… We then compare the performance of various mobility … and educational intergenerational
(father-son) mobility in 16 … and we show that intergenerational mobility in Italy across regions or …",94,"D Checchi, V Dardanoni","Inequality, Welfare and Poverty: Theory …",emerald.com,2003
Intra-generational and intergenerational social mobility: Evidence from Vietnam,"CV Nguyen, LT Nguyen - Journal of Asian and African …, 2020 - journals.sagepub.com","… mobility, but also intergenerational mobility … mobility or intergenerational mobility. Secondly,
we use the most recent VHLSSs from 2004 to 2014 to examine the change in social mobility …",6,"CV Nguyen, LT Nguyen",Journal of Asian and African …,journals.sagepub.com,2020
"Mothers, fathers and daughters: Intergenerational transmission of education in Greece","J Daouli, M Demoussis, N Giannakopoulos - Economics of Education …, 2010 - Elsevier","… This study explores the role of intergenerational mobility in the educational attainments of
Greek women. We use data from the most recent Greek Household Budget Survey and the last …",83,"J Daouli, M Demoussis, N Giannakopoulos",Economics of Education …,Elsevier,2010
Life Satisfaction and Intergenerational Mobility Among Older Hispanics in the United States.,"MG Taylor, DC Carr - Journal of Aging and Health, 2022 - europepmc.org","… other factors, intergenerational mobility decreased rather … These results indicate that
intergenerational mobility may not … it is unclear whether upward mobility will translate to positive or …",NA,"MG Taylor, DC Carr",Journal of Aging and Health,europepmc.org,2022
Intergenerational mobility of earnings and income among sons and daughters in Vietnam,"T Dang - Available at SSRN 2612376, 2015 - papers.ssrn.com","… Studies of intergenerational mobility can importantly overcome this shortcoming. Within this
… to investigate intergenerational mobility. Research on intergenerational mobility in Vietnam …",2,T Dang,Available at SSRN ,papers.ssrn.com,2612376
Divided landscapes of economic opportunity: The Canadian geography of intergenerational income mobility,M Corak - 2017 - humcap.uchicago.edu,"… Intergenerational income mobility varies significantly across … which has noticeably less
intergenerational mobility among eight … They show that higher mobility communities are located in …",32,M Corak,,humcap.uchicago.edu,2017
"'The Worldly Advantage It Gives…'Missionary Education, Migration and Intergenerational Mobility in the Long Nineteenth Century, Ceylon and Malaya 1816–1916","KH Wal - Journal of Interdisciplinary Economics, 2019 - journals.sagepub.com","… The transfer of educational and religious networks from one colony to the other is the core
of comprehending the migratory experiences and intergenerational mobility over generations …",3,KH Wal,Journal of Interdisciplinary Economics,journals.sagepub.com,2019
Multi-trait matching and intergenerational mobility: A Cinderella story,"N Chen, P Conconi, C Perroni - 2011 - papers.ssrn.com","… In this section, we show that gender asymmetries in the patterns of intergenerational
mobility can result from differences in the degree of persistence of market and nonmarket traits, …",2,"N Chen, P Conconi, C Perroni",,papers.ssrn.com,2011
"Search discrimination, human capital accumulation, and intergenerational mobility",P Arcidiacono - 2000 - ideas.repec.org,"Unequal outcomes for blacks and whites include earnings inequality, which increases with
age, and differences in unemployment rates. I develop a matching model with search …",2,P Arcidiacono,,ideas.repec.org,2000
Biases in standard measures of intergenerational income dependence,"M Nybom, J Stuhler - Journal of Human Resources, 2017 - jhr.uwpress.org","… typically aim to estimate the dependence between lifetime incomes or earnings of parents
and offspring, with strong associations implying a low degree of intergenerational mobility (…",156,"M Nybom, J Stuhler",Journal of Human Resources,jhr.uwpress.org,2017
"Stratification, social networks in the labour market, and intergenerational mobility","D Anderberg, F Andersson - 2003 - econstor.eu","… countries to exhibit relatively high mobility. This suggests that there … intergenerational
mobility. A few studies have also tried to identify what changes, if any, in intergenerational mobility …",2,"D Anderberg, F Andersson",,econstor.eu,2003
"Like father, like son? Intergenerational educational mobility in India","M Azam, V Bhatt - Demography, 2015 - read.dukeupress.edu","… Third, we relax an important data restriction for intergenerational mobility studies in India
by creating a unique son–father matched data set that is not limited to coresident households. …",203,"M Azam, V Bhatt",Demography,read.dukeupress.edu,2015
"Postsecondary education impact on intergenerational income mobility: Differences by completion status, gender, race/ethnicity, and type of major","M Creusere, H Zhao, S Bond Huie… - The Journal of Higher …, 2019 - Taylor & Francis","… This study examined intergenerational mobility among former students of The University of
Texas System (n = 98,199) by comparing parental household income while the students were …",15,"M Creusere, H Zhao, S Bond Huie…",The Journal of Higher …,Taylor & Francis,2019
Differences across cohorts in Finnish intergenerational income mobility,"S Pekkala, REB Lucas - … Relations: A Journal of Economy and …, 2007 - Wiley Online Library","… After that we observed no increase in the extent of intergenerational mobility for 1950s and
1960s birth cohorts, but rather the reverse. Section 2 also reports a number of explorations …",87,"S Pekkala, REB Lucas",… Relations: A Journal of Economy and …,Wiley Online Library,2007
Intergenerational Mobility in Switzerland. A Comparison of Methodological Approaches,"B Jann, S Seiler - 2013 - boris.unibe.ch","Despite the widespread interest in the topic and a vast international literature, only little is
known about the development of intergenerational mobility in Switzerland. Based on a new …",1,"B Jann, S Seiler",,boris.unibe.ch,2013
Do borrowing constraints decrease intergenerational mobility? Evidence from Brazil,SG Ferreira - 2003 - bibliotecadigital.fgv.br,"… seen as a limiting factor to intergenerational mobility in Brazil. First, we assume the typical
econometric model to assess the extent of intergenerational mobility specified in equation (7), …",2,SG Ferreira,,bibliotecadigital.fgv.br,2003
"Social Mobility and Political Regimes: Intergenerational Mobility in Hungary, 1949-2017",AGR PETŐ - 2021 - kti.krtk.hu,"This paper measures social mobility rates in Hungary 1949-2017, for upper class and
underclass families, using surnames to measure social status. In these years there were two very …",NA,AGR PETŐ,,kti.krtk.hu,2021
Intergenerational occupational mobility in Great Britain and the United States since 1850: Comment,"Y Xie, A Killewald - American Economic Review, 2013 - aeaweb.org","… 1880 data may be correlated with intergenerational mobility.In the other extreme scenario of
… the matching likelihood is associated with intergenerational mobility in 1880, but this missing…",96,"Y Xie, A Killewald",American Economic Review,aeaweb.org,2013
The changing relationship between university education and intergenerational social mobility,"E Harvey - Canadian Review of Sociology/Revue canadienne …, 1984 - Wiley Online Library","… intergenerational mobility have diminished over time and the extent to which this is a
consequence of worsening mobility … some differences in intergenerational mobility patterns for the …",5,E Harvey,Canadian Review of Sociology/Revue canadienne …,Wiley Online Library,1984
Occupational patterns and intergenerational mobility of the Jews in Italy,"EF Sabatello - Proceedings of the World Congress of Jewish Studies …, 1969 - JSTOR","… intergenerational mobility will be considered. Some methodological remarks are made here:
(a) Intergenerational mobility … Thus, many current mobility researches consider only those …",2,EF Sabatello,Proceedings of the World Congress of Jewish Studies …,JSTOR,1969
Education and intergenerational social mobility in the US and four European countries,"R Breen - Oxford Review of Economic Policy, 2019 - academic.oup.com","… promoted greater intergenerational mobility. Our … in intergenerational mobility. In the process,
however, our project expanded into a broader description of how intergenerational mobility …",22,R Breen,Oxford Review of Economic Policy,academic.oup.com,2019
"Rich Dad, Rich Kid? Switching Regression Estimates of Intergenerational Mobility of Consumption","S Guo - Online at< http://www2. fiu. edu/orgs/economics …, 2009 - core.ac.uk","… Theory suggests that intergenerational financial transfer is the indicator of whether a family
… error, we show that the intergenerational mobility of consumption for constrained families is …",3,S Guo,Online at< http://www. fiu. edu/orgs/economics …,core.ac.uk,2
Aspirations of intergenerational mobility. Perception of change in young Europeans,"P Angelini - Italian Journal of Sociology of Education, 2011 - ijse.padovauniversitypress.it","… Our dependent variable was the aspiration to upwards intergenerational mobility (deterioration/stability
versus improvement of one’s condition). The well-known concept of social class, …",2,P Angelini,Italian Journal of Sociology of Education,ijse.padovauniversitypress.it,2011
Intergenerational earnings mobility and the inheritance of employers,"M Corak, P Piraino - 2010 - papers.ssrn.com","… intergenerational earnings mobility modifies the Becker-Tomes model to incorporate the
intergenerational … is predicted to increase the intergenerational elasticity of earnings. About 6% …",49,"M Corak, P Piraino",,papers.ssrn.com,2010
Intergenerational mobility and crime rates: Using climate as an instrumental variable,"WH Chia, C Tay, J Ertl, J Zhang, B Cai - Research Paper, 2016 - academia.edu","… intergenerational mobility. Obtaining a clear relationship between crime rates and
intergenerational mobility … rate in improving the intergenerational mobility in commuting zones with …",2,"WH Chia, C Tay, J Ertl, J Zhang, B Cai",Research Paper,academia.edu,2016
Intergenerational Mobility of Education in South Korea,"J Kim, S Lee - Available at SSRN 4152211, 2022 - papers.ssrn.com","… mobility between senior and young parent groups. The results indicate an increase over time
in the upward mobility … Intergenerational mobility (IGM) has received substantial attention in …",NA,"J Kim, S Lee",Available at SSRN ,papers.ssrn.com,4152211
Intergenerational Mobility as a Determinant of Socio-economic Status: A Theoretical Discussion.,"M Murshed - Bangladesh e-Journal of Sociology, 2012 - academia.edu","… The intergenerational mobility was earlier considered as a matter for … of intergenerational
mobility may vary from family to family but there is an existence of intergenerational mobility. A …",1,M Murshed,Bangladesh e-Journal of Sociology,academia.edu,2012
Quantifying the Role of Firms in Intergenerational Mobility,"C Dobbin, T Zohar - 2021 - tomzohar.com","… We focus our analysis on a common measure of intergenerational mobility – the intergenerational
elasticity of earnings (IGE). We find an IGE of 0.41 in Israel, well within the range of …",NA,"C Dobbin, T Zohar",,tomzohar.com,2021
Inequity in Intergenerational Mobility in Transitional China and Its Dynamics: The Effects of Schooling,"Z Jinyan, C Yue-ping - International Journal of Chinese Education, 2012 - brill.com","… In this study, the relationship between schooling and intergenerational mobility was examined
by applying regression analysis and path analysis models to the CHNS dataset. It was …",2,"Z Jinyan, C Yue-ping",International Journal of Chinese Education,brill.com,2012
Intergenerational Mobility of Middle Income Group in China: A Perspective from Household Registration and Education,"P Lu, X Fan - The Middle Income Group in China and Russia, 2021 - Springer","… as either the hindrance or incentives of intergenerational mobility, we make separate analysis
of hukou and educational attainment as the result of the mobility above mentioned. In the …",NA,"P Lu, X Fan",The Middle Income Group in China and Russia,Springer,2021
"Race, intergenerational social mobility and stressful life events","S Assari - Behavioral Sciences, 2018 - mdpi.com","… Upward and downward intergenerational social mobility was … Intergenerational mobility
included upward social (individual has higher education than their parents), no social mobility …",68,S Assari,Behavioral Sciences,mdpi.com,2018
Intergenerational income persistence,"J Blanden - IZA World of Labor, 2019 - wol.iza.org","… for putting estimates of intergenerational mobility in perspective. … based on comparing
intergenerational mobility at sub-… new insights into the drivers of mobility. Longer-term estimates …",24,J Blanden,IZA World of Labor,wol.iza.org,2019
"Living in Limbo: Aspiration-attainment Gap, Occupational Health Risks, and Intergenerational Mobility of Mexican Origin Migrant Farm Workers in El Paso, Texas","YF Paat, CM Saucedo, R Rojas, J Muñoz… - Journal of …, 2022 - Taylor & Francis","Using convenience and purposive sampling, this study examined the aspiration-attainment
gap and occupational health risks that 40 Mexican origin migrant farm workers faced and the …",NA,"YF Paat, CM Saucedo, R Rojas, J Muñoz…",Journal of …,Taylor & Francis,2022
"Like mother, like daughter? SES and the intergenerational correlation of traits, behaviors and attitudes","SE Mayer, G Duncan, A Kalil - 2004 - ideas.repec.org","… We use intergenerational data from the National Longitudinal Survey of Youth and its Child
Supplement to estimate the effect of parental family SES (income and education) and other …",21,"SE Mayer, G Duncan, A Kalil",,ideas.repec.org,2004
Intergenerational income mobility table revisited: A trajectory group perspective,"X Song, E Zang, KC Land, B Zheng - … in Social Stratification and Mobility, 2022 - Elsevier","… We then construct intergenerational mobility tables using parent and offspring income … In
this study, we revisit the traditional mobility table approach in intergenerational mobility studies, …",1,"X Song, E Zang, KC Land, B Zheng",… in Social Stratification and Mobility,Elsevier,2022
Intergenerational earnings mobility and divorce,"E Bratberg, KM Elseth Rieck, K Vaage - Journal of Population Economics, 2014 - Springer","This paper examines the potential effect of marital disruption on intergenerational earnings
mobility. We observe the earnings of children born in 1960 and 1970 along with their …",26,"E Bratberg, KM Elseth Rieck, K Vaage",Journal of Population Economics,Springer,2014
The intergenerational earnings and income mobility of Canadian men: Evidence from longitudinal income tax data,"M Corak, A Heisz - Journal of Human Resources, 1999 - JSTOR","… both intergenerational earnings mobility and income mobility… in the degree of intergenerational
mobility. We begin by … is a good deal of intergenerational mobility among Canadian …",548,"M Corak, A Heisz",Journal of Human Resources,JSTOR,1999
Intergenerational mobility among Muslims in Aurangabad: a South Indian city,"MA Khan - Institute of Muslim Minority Affairs. Journal, 1987 - Taylor & Francis","Indian Muslims comprise the second largest religious group in India after the Hindus. They
take an active part in the political process and contribute considerably to the expansion of …",2,MA Khan,Institute of Muslim Minority Affairs. Journal,Taylor & Francis,1987
Occupations and the evolution of gender differences in intergenerational socioeconomic mobility,"JM Schwenkenberg - Economics Letters, 2014 - Elsevier","… This paper analyzes intergenerational mobility experiences of daughters and sons with
respect to their fathers’ occupational status and documents changes in gender differences over …",8,JM Schwenkenberg,Economics Letters,Elsevier,2014
"Intergenerational Mobility, Gender Differences and the Role of Out-Migration: New Evidence from Spain","J Soria-Espin - Gender Differences and the Role of Out-Migration …, 2022 - papers.ssrn.com","… the effects of local policies on intergenerational mobility in quasi-experimental settings. …
In this paper, I provide the first estimates of intergenerational mobility of income in Spain using …",1,J Soria-Espin,Gender Differences and the Role of Out-Migration …,papers.ssrn.com,2022
"Intergenerational income mobility: access to top jobs, the low-pay no-pay cycle and the role of education in a common framework","P Gregg, L Macmillan, C Vittori - Journal of Population Economics, 2019 - Springer","… human capital as a key driver of intergenerational mobility. Models by Blau and Duncan (1967…
studies on the role of education in intergenerational mobility date back to the early 1980s (…",22,"P Gregg, L Macmillan, C Vittori",Journal of Population Economics,Springer,2019
Automation Technology and Intergenerational Mobility in the United States,N Guo - 2020 - search.proquest.com,"… I develop a model of intergenerational mobility and derive novel testable implications from
it. By exploiting plausibly exogenous variation, I test and largely confirm these implications. In …",NA,N Guo,,search.proquest.com,2020
Reconsidering the use of nonlinearities in intergenerational earnings mobility as a test for credit constraints,"ND Grawe - Journal of Human Resources, 2004 - jhr.uwpress.org","Intergenerational earnings regression among Canadian men is nonlinear; middle-earning
families experience slower regression. This pattern appears to confirm economic models of …",163,ND Grawe,Journal of Human Resources,jhr.uwpress.org,2004
Gender and migration background in intergenerational educational mobility,"A Schneebaum, B Rumplmaier… - Education Economics, 2016 - Taylor & Francis","… Indeed, we expect that migrant women will face the least intergenerational mobility because
of the strength of traditional gender role ideology in the sample of migrants we study. This …",45,"A Schneebaum, B Rumplmaier…",Education Economics,Taylor & Francis,2016
The intergenerational transmission of economic disadvantages and social exclusion-constraints on social mobility,"VV Eberharter - Schmollers Jahrbuch-Zeitschrift fur Wirtschafts …, 2011 - researchgate.net","… A low intergenerational mobility in the tails of the income distribution (Atkinson et. al. 1983,
Dearden et. al. 1997, Corcoran 2001) might increase the … (ii) To analyze the …",6,VV Eberharter,Schmollers Jahrbuch-Zeitschrift fur Wirtschafts …,researchgate.net,2011
Essays on Intergenerational Mobility andMeasures of Teacher's Quality in Chile,GI Villarroel Neira - 2021 - repositorio.uchile.cl,"… intergenerational mobility is high in the bottom 80% of the parents’ distribution but with
extremely high intergenerational … remarkable heterogeneity in intergenerational mobility at the re…",NA,GI Villarroel Neira,,repositorio.uchile.cl,2021
"Family background, intergenerational mobility, and earnings distribution: Evidence from the United States",RHA Naga - 1996 - Citeseer,"… Given our earlier discussion we will say that an intergenerational mobility process f(x,y)
exhibits persistence if for all W e W, W(y,,...,yn IX2) > (W(y,,...,yn IX,). Geometrically, this property …",2,RHA Naga,,Citeseer,1996
What is the source of the intergenerational correlation in earnings? A comment,"C Boar - Journal of Monetary Economics, 2022 - Elsevier","… topic, as it produces estimates of intergenerational mobility that are consistent with those
based … 1 displays the evolution of a measure of absolute intergenerational mobility, namely the …",NA,C Boar,Journal of Monetary Economics,Elsevier,2022
Intergenerational mobility: An assessment for Latin American countries,"ÖT Doruk, F Pastore, HB Yavuz - Structural Change and Economic …, 2022 - Elsevier","… the intergenerational mobility across generations. In the intergenerational mobility studies, …
to child's social class in terms of intergenerational mobility across generations. The main idea …",NA,"ÖT Doruk, F Pastore, HB Yavuz",Structural Change and Economic …,Elsevier,2022
Intergenerational mobility of young Europeans: A comparative analysis of social and political consequences,B Schuck - 2019 - archiv.ub.uni-heidelberg.de,"… With respect to possible consequences of intergenerational mobility for the young people’s …
mobility effects are more likely to occur in status-based societies, I find net mobility effects in …",1,B Schuck,,archiv.ub.uni-heidelberg.de,2019
An Analysis of Japan's Immigrant Settlement Process: Social Stratification Occupational Attainment and Intergenerational Mobility (in Japanese),Y Korekawa - 2012 - econpapers.repec.org,"… socio-economic intergenerational disparity. Those results are both innovative and useful
from the viewpoint of individualistic approach, including intergenerational mobility, although the …",3,Y Korekawa,,econpapers.repec.org,2012
"Education, Intergenerational Mobility and Social Stratification: Theory",J HELLIER - 2016 - researchgate.net,"… education decisions and intergenerational mobility of human … to education and
intergenerational mobility are based. The … of intergenerational mobility are subsequently …",1,J HELLIER,,researchgate.net,2016
Primary and secondary school quality and intergenerational earnings mobility,"ND Grawe - Journal of Human Capital, 2010 - journals.uchicago.edu","… These authors estimate the level of intergenerational mobility using state of birth to …
precision the relationship between quality and intergenerational mobility across the 50 states and …",22,ND Grawe,Journal of Human Capital,journals.uchicago.edu,2010
Intergenerational mobility among three generations of immigrants in Sweden,M Hammarstedt - 2007 - ideas.repec.org,"… This paper studies intergenerational mobility among three generations of male immigrants
in Sweden. We find a regression towards the native mean in earnings between immigrants …",2,M Hammarstedt,,ideas.repec.org,2007
Intergenerational mobility measures in a bivariate normal model,"Y Berman - arXiv preprint arXiv:1706.07783, 2017 - arxiv.org","… We model the joint log-income distribution of parents and children and derive analytic
expressions for canonical relative and absolute intergenerational mobility measures. We …",1,Y Berman,arXiv preprint arXiv:.,arxiv.org,1706
The intergenerational transmission of lifetime earnings: Evidence from Brazil,"CE Dunn - The BE Journal of Economic Analysis & Policy, 2007 - degruyter.com","… estimates of intergenerational mobility across sons’ ages, the work of Ferreira and Veloso
confirms the finding of this paper that the level of intergenerational mobility is extremely low in …",195,CE Dunn,The BE Journal of Economic Analysis & Policy,degruyter.com,2007
